GT\Pred,bg,A,B,C,D,TINB/TINC,TIND,HH,XW,XQL,HC,SZ
bg,0.999663,0.000057,0.000043,0.000050,0.000014,0.000044,0.000021,0.000029,0.000008,0.000014,0.000054,0.000004
A,0.208637,0.772431,0.001262,0.009669,0.000072,0.000719,0.000541,0.005920,0.000522,0.000000,0.000060,0.000168
B,0.239817,0.001085,0.600818,0.143416,0.000306,0.000000,0.000000,0.000221,0.000000,0.000000,0.014338,0.000000
C,0.331741,0.009229,0.106085,0.548810,0.000000,0.000000,0.000000,0.002325,0.000256,0.000000,0.001554,0.000000
D,0.253381,0.000000,0.002076,0.000000,0.656553,0.000000,0.001513,0.000022,0.000000,0.000000,0.078781,0.007674
TINB/TINC,0.442271,0.000955,0.000492,0.000000,0.000000,0.475278,0.081004,0.000000,0.000000,0.000000,0.000000,0.000000
TIND,0.173621,0.000000,0.000000,0.000000,0.000000,0.067382,0.751601,0.000000,0.000000,0.000000,0.007396,0.000000
HH,0.640113,0.000000,0.000142,0.000000,0.000000,0.000000,0.000000,0.359524,0.000221,0.000000,0.000000,0.000000
XW,0.372738,0.000058,0.000000,0.000000,0.000000,0.000000,0.000000,0.003201,0.467184,0.000000,0.156819,0.000000
XQL,0.167621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008639,0.803444,0.020295,0.000000
HC,0.154117,0.000470,0.003183,0.004162,0.006803,0.000161,0.000895,0.000000,0.016709,0.000110,0.811805,0.001585
SZ,0.128177,0.000000,0.000000,0.000000,0.004768,0.000000,0.000000,0.000000,0.000000,0.000000,0.042651,0.824404
