image,fp_type,component_id,area_px,x,y,w,h,majority_pred_class_id,majority_pred_class_name
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,1,2,406,34,2,1,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,2,3,418,134,1,3,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,3,2,413,147,2,1,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,4,2,415,157,2,2,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,7,3,408,166,1,3,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,9,7,649,196,3,7,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,10,12,646,201,3,12,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,11,9,650,207,2,7,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,12,2,891,226,2,1,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,13,4,890,228,1,4,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,14,25,415,366,6,6,5,TINB/TINC
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,15,2,421,375,1,2,5,TINB/TINC
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,16,9,419,416,3,7,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,18,17,674,592,3,10,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,19,16,670,594,3,9,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,20,9,415,609,5,4,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,21,24,422,609,4,13,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,22,3,416,754,1,3,5,TINB/TINC
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,24,38,892,769,6,8,6,TIND
