class_id,class_name,precision,recall,f1,tp_px,fp_px,fn_px
0,bg,0.9991647597178527,0.9994646282288205,0.9993146714776392,1036003257,866035,554944
1,A,0.8134964045566593,0.8016572878261932,0.8075334556814028,334635,76719,82794
2,B,0.6902404294966563,0.6927366053363567,0.6914862647059894,380045,170553,168569
3,C,0.7135151476341455,0.6564119215351018,0.6837734061083331,479119,192372,250787
4,D,0.7761211943403523,0.6426071306325704,0.7030817739227081,58199,16788,32368
5,TINB/TINC,0.7208312145659879,0.5335445580151621,0.6132063137472015,189952,73566,166067
6,TIND,0.7167167443099852,0.662361372938639,0.6884678697047129,78001,30830,39761
7,HH,0.6747836901960433,0.4112538649885209,0.5110456803258137,150829,72693,215925
8,XW,0.8677169649583084,0.6499340911633518,0.7431996106514637,133618,20370,71969
9,XQL,0.8452392530636063,0.8183352894293469,0.8315697206526363,243341,44555,54020
10,HC,0.7444839844615669,0.860190410892231,0.7981656420154769,406489,139512,66068
11,SZ,0.816469861850737,0.7943683123709405,0.805267464652039,21158,4756,5477
