GT\Pred,bg,A,B,C,D,TINB/TINC,TIND,HH,XW,XQL,HC,SZ
bg,1036003257,67834,69714,116417,12670,59876,13088,68037,9962,44112,89819,3415
A,76076,334635,525,3829,30,241,41,1845,87,0,57,63
B,89557,838,380045,71006,378,0,0,113,0,0,6677,0
C,148431,7015,93386,479119,0,0,0,1245,357,0,353,0
D,21827,0,1106,54,58199,0,140,48,0,0,8433,760
TINB/TINC,148146,420,93,0,0,189952,17408,0,0,0,0,0
TIND,25809,69,0,0,0,12958,78001,0,0,0,925,0
HH,215080,358,184,206,0,0,0,150829,97,0,0,0
XW,46091,0,0,0,0,0,0,1405,133618,443,24030,0
XQL,42422,0,0,0,0,0,0,0,4086,243341,7512,0
HC,49237,185,5545,860,3298,491,153,0,5781,0,406489,518
SZ,3359,0,0,0,412,0,0,0,0,0,1706,21158
