image,gt_class_id,gt_class_name,gt_component_id,gt_area_px,inclusion_coverage,correct_class_coverage,dominant_pred_class_id,dominant_pred_class_name,dominant_ratio,correct_class_ratio,fragment_class_count,fragment_classes,matched_pred_component_id,matched_intersection_px,matched_pred_area_px,purity
0506tin1_1_30_crop_00.jpg,5,TINB/TINC,1,281,0.5516014234875445,0.5516014234875445,5,TINB/TINC,1.0,1.0,1,TINB/TINC,13,79,82,0.9634146341463414
0506tin1_1_30_crop_00.jpg,6,TIND,1,60,0.75,0.65,6,TIND,0.8666666666666667,0.8666666666666667,2,TINB/TINC|TIND,1,45,47,0.9574468085106383
0506tin1_1_30_crop_00.jpg,6,TIND,2,99,0.7474747474747475,0.7474747474747475,6,TIND,1.0,1.0,1,TIND,2,74,79,0.9367088607594937
0506tin1_1_30_crop_00.jpg,6,TIND,3,157,0.802547770700637,0.802547770700637,6,TIND,1.0,1.0,1,TIND,3,126,133,0.9473684210526315
0506tin1_1_30_crop_00.jpg,6,TIND,4,61,0.9836065573770492,0.9836065573770492,6,TIND,1.0,1.0,1,TIND,4,60,89,0.6741573033707865
0506tin1_1_30_crop_00.jpg,6,TIND,5,143,0.8111888111888111,0.8111888111888111,6,TIND,1.0,1.0,1,TIND,5,116,122,0.9508196721311475
0506tin1_1_30_crop_00.jpg,6,TIND,6,98,0.6020408163265306,0.4897959183673469,6,TIND,0.8135593220338984,0.8135593220338984,2,TINB/TINC|TIND,6,59,86,0.686046511627907
0506tin1_1_30_crop_00.jpg,6,TIND,7,72,0.8888888888888888,0.8888888888888888,6,TIND,1.0,1.0,1,TIND,7,64,74,0.8648648648648649
0506tin1_1_30_crop_00.jpg,6,TIND,8,39,0.8205128205128205,0.8205128205128205,6,TIND,1.0,1.0,1,TIND,8,32,65,0.49230769230769234
0506tin1_1_30_crop_00.jpg,6,TIND,9,112,0.8392857142857143,0.8392857142857143,6,TIND,1.0,1.0,1,TIND,9,94,127,0.7401574803149606
0506tin1_1_30_crop_00.jpg,6,TIND,10,80,0.65,0.65,6,TIND,1.0,1.0,1,TIND,14,52,59,0.8813559322033898
0506tin1_1_30_crop_00.jpg,6,TIND,11,87,0.9885057471264368,0.0,5,TINB/TINC,1.0,0.0,1,TINB/TINC,15,86,125,0.688
0506tin1_1_30_crop_01.jpg,5,TINB/TINC,1,908,0.32819383259911894,0.31277533039647576,5,TINB/TINC,0.9530201342281879,0.9530201342281879,1,TINB/TINC,1,284,291,0.9759450171821306
0506tin1_1_30_crop_01.jpg,5,TINB/TINC,2,1050,0.01619047619047619,0.01619047619047619,5,TINB/TINC,1.0,1.0,1,TINB/TINC,2,17,17,1.0
0506tin1_1_30_crop_01.jpg,5,TINB/TINC,3,539,0.20408163265306123,0.0,6,TIND,1.0,0.0,1,TIND,4,110,110,1.0
0506tin1_1_32_crop_01.jpg,5,TINB/TINC,1,335,0.08358208955223881,0.08358208955223881,5,TINB/TINC,1.0,1.0,1,TINB/TINC,1,28,28,1.0
0506tin1_1_32_crop_01.jpg,5,TINB/TINC,2,400,0.775,0.775,5,TINB/TINC,1.0,1.0,1,TINB/TINC,2,310,362,0.856353591160221
0506tin1_1_32_crop_01.jpg,5,TINB/TINC,3,828,0.8079710144927537,0.8079710144927537,5,TINB/TINC,1.0,1.0,1,TINB/TINC,3,669,748,0.8943850267379679
0506tin1_1_32_crop_01.jpg,5,TINB/TINC,4,875,0.0,0.0,0,bg,0.0,0.0,0,,0,0,0,0.0
0506tin1_1_32_crop_02.jpg,5,TINB/TINC,1,291,0.8247422680412371,0.8247422680412371,5,TINB/TINC,1.0,1.0,1,TINB/TINC,1,240,322,0.7453416149068323
0506tin1_1_32_crop_02.jpg,5,TINB/TINC,2,1385,0.0,0.0,0,bg,0.0,0.0,0,,0,0,0,0.0
0506tin1_1_32_crop_02.jpg,5,TINB/TINC,3,1279,0.2642689601250977,0.2642689601250977,5,TINB/TINC,1.0,1.0,1,TINB/TINC,6,338,407,0.8304668304668305
0506tin1_1_33_crop_02.jpg,5,TINB/TINC,1,276,0.6521739130434783,0.6521739130434783,5,TINB/TINC,1.0,1.0,1,TINB/TINC,1,180,188,0.9574468085106383
0506tin1_1_33_crop_02.jpg,5,TINB/TINC,2,960,0.8677083333333333,0.8677083333333333,5,TINB/TINC,1.0,1.0,1,TINB/TINC,2,833,1038,0.802504816955684
0506tin1_1_33_crop_02.jpg,6,TIND,1,96,0.0,0.0,0,bg,0.0,0.0,0,,0,0,0,0.0
